timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
626320000,0,0,0,1,0
628336000,0,0,0,1,0
630352000,0,0,0,1,0
632376000,0,0,0,1,0
634400000,0,0,0,1,0
636416000,0,0,0,1,0
638440000,0,0,0,1,0
640468000,0,0,0,1,0
642496000,0,0,0,1,0
644504000,0,0,0,1,0
646512000,0,0,0,1,0
648532000,0,0,0,1,0
650552000,0,0,0,1,0
652568000,0,0,0,1,0
654576000,0,0,0,1,0
656600000,0,0,0,1,0
658616000,0,0,0,1,0
660664000,0,0,0,1,0
662688000,0,0,0,1,0
664704000,0,0,0,1,0
666736000,0,0,0,1,0
