timestamp,armed,prearmed,ready_to_arm,lockdown,kill,termination,in_esc_calibration_mode
4323000,0,0,0,0,0,0,0
4827000,0,0,0,0,0,0,0
5271000,0,0,0,0,0,0,0
5775000,0,0,0,0,0,0,0
6279000,0,0,0,0,0,0,0
6783000,0,0,0,0,0,0,0
7287000,0,0,0,0,0,0,0
7755000,0,0,1,0,0,0,0
8259000,0,0,1,0,0,0,0
8763000,0,0,1,0,0,0,0
9267000,0,0,1,0,0,0,0
9771000,0,0,1,0,0,0,0
10275000,0,0,1,0,0,0,0
10779000,0,0,1,0,0,0,0
11283000,0,0,1,0,0,0,0
11787000,0,0,1,0,0,0,0
12291000,0,0,1,0,0,0,0
12795000,0,0,1,0,0,0,0
13299000,0,0,1,0,0,0,0
13803000,0,0,1,0,0,0,0
14307000,0,0,1,0,0,0,0
14811000,0,0,1,0,0,0,0
15315000,0,0,1,0,0,0,0
15819000,0,0,1,0,0,0,0
16323000,0,0,1,0,0,0,0
16827000,0,0,1,0,0,0,0
17331000,0,0,1,0,0,0,0
17835000,0,0,1,0,0,0,0
18339000,0,0,1,0,0,0,0
18843000,0,0,1,0,0,0,0
19347000,0,0,1,0,0,0,0
19851000,0,0,1,0,0,0,0
20355000,0,0,1,0,0,0,0
20859000,0,0,1,0,0,0,0
21363000,0,0,1,0,0,0,0
21867000,0,0,1,0,0,0,0
22371000,0,0,1,0,0,0,0
22875000,0,0,1,0,0,0,0
23379000,0,0,1,0,0,0,0
23883000,0,0,1,0,0,0,0
24387000,0,0,1,0,0,0,0
24891000,0,0,1,0,0,0,0
25395000,0,0,1,0,0,0,0
25899000,0,0,1,0,0,0,0
26403000,0,0,1,0,0,0,0
26907000,0,0,1,0,0,0,0
27411000,0,0,1,0,0,0,0
27915000,0,0,1,0,0,0,0
28419000,0,0,1,0,0,0,0
28923000,0,0,1,0,0,0,0
29427000,0,0,1,0,0,0,0
29931000,0,0,1,0,0,0,0
30435000,0,0,1,0,0,0,0
30939000,0,0,1,0,0,0,0
31443000,0,0,1,0,0,0,0
31951000,0,0,1,0,0,0,0
32455000,0,0,1,0,0,0,0
32959000,0,0,1,0,0,0,0
33463000,0,0,1,0,0,0,0
33967000,0,0,1,0,0,0,0
34471000,0,0,1,0,0,0,0
34975000,0,0,1,0,0,0,0
35479000,0,0,1,0,0,0,0
35983000,0,0,1,0,0,0,0
36487000,0,0,1,0,0,0,0
36991000,0,0,1,0,0,0,0
37495000,0,0,1,0,0,0,0
37999000,0,0,1,0,0,0,0
38503000,0,0,1,0,0,0,0
39007000,0,0,1,0,0,0,0
39511000,0,0,1,0,0,0,0
40015000,0,0,1,0,0,0,0
40519000,0,0,1,0,0,0,0
41023000,0,0,1,0,0,0,0
41527000,0,0,1,0,0,0,0
42031000,0,0,1,0,0,0,0
42535000,0,0,1,0,0,0,0
43039000,0,0,1,0,0,0,0
43543000,0,0,1,0,0,0,0
44047000,0,0,1,0,0,0,0
44551000,0,0,1,0,0,0,0
45055000,0,0,1,0,0,0,0
45559000,0,0,1,0,0,0,0
46063000,0,0,1,0,0,0,0
46567000,0,0,1,0,0,0,0
47071000,0,0,1,0,0,0,0
47575000,0,0,1,0,0,0,0
48079000,0,0,1,0,0,0,0
48587000,0,0,1,0,0,0,0
49091000,0,0,1,0,0,0,0
49595000,0,0,1,0,0,0,0
50099000,0,0,1,0,0,0,0
50603000,0,0,1,0,0,0,0
51107000,0,0,1,0,0,0,0
51611000,0,0,1,0,0,0,0
52115000,0,0,1,0,0,0,0
52619000,0,0,1,0,0,0,0
53123000,0,0,1,0,0,0,0
53627000,0,0,1,0,0,0,0
54131000,0,0,1,0,0,0,0
