timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
4275000,4275000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5051000,4899000,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5499000,5347000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6499000,5347000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53699000,6547000,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
