timestamp,speed_up,speed_down,want_takeoff
5579000,3.0,1.5,0
6403000,3.0,1.5,0
7403000,3.6000001,1.8000001,0
8403000,3.6000001,1.8000001,0
9403000,3.6000001,1.8000001,0
10403000,3.6000001,1.8000001,0
11403000,3.6000001,1.8000001,0
12403000,3.6000001,1.8000001,0
13403000,3.6000001,1.8000001,0
14403000,3.6000001,1.8000001,0
15403000,3.6000001,1.8000001,0
16403000,3.6000001,1.8000001,0
17403000,3.6000001,1.8000001,0
18403000,3.6000001,1.8000001,0
19403000,3.6000001,1.8000001,0
20403000,3.6000001,1.8000001,0
21403000,3.6000001,1.8000001,0
22403000,3.6000001,1.8000001,0
23403000,3.6000001,1.8000001,0
24403000,3.6000001,1.8000001,0
25403000,3.6000001,1.8000001,0
26403000,3.6000001,1.8000001,0
27403000,3.6000001,1.8000001,0
28403000,3.6000001,1.8000001,0
29403000,3.6000001,1.8000001,0
30403000,3.6000001,1.8000001,0
31403000,3.6000001,1.8000001,0
32403000,3.6000001,1.8000001,0
33403000,3.6000001,1.8000001,0
34403000,3.6000001,1.8000001,0
35403000,3.6000001,1.8000001,0
36403000,3.6000001,1.8000001,0
37403000,3.6000001,1.8000001,0
38403000,3.6000001,1.8000001,0
39403000,3.6000001,1.8000001,0
40403000,3.6000001,1.8000001,0
41403000,3.6000001,1.8000001,0
42403000,3.6000001,1.8000001,0
43403000,3.6000001,1.8000001,0
44403000,3.6000001,1.8000001,0
45403000,3.6000001,1.8000001,0
46403000,3.6000001,1.8000001,0
47403000,3.6000001,1.8000001,0
48403000,3.6000001,1.8000001,0
49403000,3.6000001,1.8000001,0
50403000,3.6000001,1.8000001,0
51403000,3.6000001,1.8000001,0
52403000,3.6000001,1.8000001,0
53403000,3.6000001,1.8000001,0
