timestamp,mission_id,geofence_id,home_position_counter,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,item_do_jump_changed,execution_mode
2015916000,0,0,150,-1,0,0,0,0,0,0,0,0,0,0
2024092000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
2060316000,0,0,150,-1,0,0,0,0,0,0,0,0,0,0
2069852000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
2069904000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
2069956000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
2070004000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
2070060000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
2070108000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
2070156000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
2070204000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
2070260000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
2070308000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
2070356000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
2070408000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
2070460000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
2070508000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
2070564000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
2070612000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
